date	close
1947-01-01	22.5
1947-04-01	21.2
1947-07-01	20.3
1947-10-01	20.7
1948-01-01	20.9
1948-04-01	20.7
1948-07-01	20.8
1948-10-01	21.6
1949-01-01	22.5
1949-04-01	22.8
1949-07-01	22.6
1949-10-01	21.7
1950-01-01	20.9
1950-04-01	21.0
1950-07-01	22.7
1950-10-01	26.1
1951-01-01	33.6
1951-04-01	40.3
1951-07-01	48.1
1951-10-01	52.9
1952-01-01	53.5
1952-04-01	57.0
1952-07-01	58.7
1952-10-01	60.5
1953-01-01	61.3
1953-04-01	62.0
1953-07-01	61.0
1953-10-01	60.3
1954-01-01	57.4
1954-04-01	55.2
1954-07-01	53.2
1954-10-01	52.0
1955-01-01	52.4
1955-04-01	51.9
1955-07-01	53.1
1955-10-01	52.2
1956-01-01	52.8
1956-04-01	55.0
1956-07-01	55.1
1956-10-01	57.1
1957-01-01	58.9
1957-04-01	59.7
1957-07-01	60.7
1957-10-01	60.6
1958-01-01	60.8
1958-04-01	62.0
1958-07-01	62.6
1958-10-01	63.4
1959-01-01	61.1
1959-04-01	60.3
1959-07-01	61.4
1959-10-01	60.9
1960-01-01	60.0
1960-04-01	59.5
1960-07-01	62.0
1960-10-01	62.1
1961-01-01	63.4
1961-04-01	63.4
1961-07-01	65.0
1961-10-01	66.4
1962-01-01	69.2
1962-04-01	68.9
1962-07-01	70.4
1962-10-01	70.3
1963-01-01	69.4
1963-04-01	68.9
1963-07-01	70.8
1963-10-01	70.9
1964-01-01	70.4
1964-04-01	69.4
1964-07-01	70.2
1964-10-01	69.0
1965-01-01	68.0
1965-04-01	68.2
1965-07-01	71.2
1965-10-01	75.0
1966-01-01	77.5
1966-04-01	79.1
1966-07-01	85.6
1966-10-01	87.7
1967-01-01	92.2
1967-04-01	93.5
1967-07-01	96.7
1967-10-01	97.7
1968-01-01	100.5
1968-04-01	101.5
1968-07-01	101.5
1968-10-01	102.0
1969-01-01	101.3
1969-04-01	100.9
1969-07-01	103.5
1969-10-01	102.7
1970-01-01	102.8
1970-04-01	99.6
1970-07-01	99.9
1970-10-01	100.5
1971-01-01	99.5
1971-04-01	97.8
1971-07-01	97.4
1971-10-01	97.2
1972-01-01	101.4
1972-04-01	103.7
1972-07-01	97.4
1972-10-01	100.0
1973-01-01	103.0
1973-04-01	103.4
1973-07-01	99.6
1973-10-01	102.2
1974-01-01	105.4
1974-04-01	108.7
1974-07-01	109.4
1974-10-01	113.3
1975-01-01	113.9
1975-04-01	113.8
1975-07-01	118.7
1975-10-01	121.5
1976-01-01	121.5
1976-04-01	122.8
1976-07-01	123.9
1976-10-01	127.0
1977-01-01	129.9
1977-04-01	132.9
1977-07-01	133.7
1977-10-01	134.9
1978-01-01	137.4
1978-04-01	141.9
1978-07-01	144.4
1978-10-01	148.4
1979-01-01	151.1
1979-04-01	156.0
1979-07-01	158.4
1979-10-01	165.7
1980-01-01	173.3
1980-04-01	177.6
1980-07-01	180.3
1980-10-01	192.6
1981-01-01	198.9
1981-04-01	208.1
1981-07-01	212.1
1981-10-01	225.6
1982-01-01	230.1
1982-04-01	239.3
1982-07-01	245.8
1982-10-01	255.9
1983-01-01	259.3
1983-04-01	267.1
1983-07-01	271.7
1983-10-01	279.2
1984-01-01	286.2
1984-04-01	292.6
1984-07-01	294.0
1984-10-01	305.8
1985-01-01	310.9
1985-04-01	320.5
1985-07-01	333.8
1985-10-01	338.7
1986-01-01	335.1
1986-04-01	347.8
1986-07-01	362.0
1986-10-01	351.9
1987-01-01	358.7
1987-04-01	369.3
1987-07-01	376.1
1987-10-01	375.7
1988-01-01	376.3
1988-04-01	378.5
1988-07-01	377.6
1988-10-01	386.1
1989-01-01	379.2
1989-04-01	389.5
1989-07-01	394.8
1989-10-01	391.1
1990-01-01	399.8
1990-04-01	402.5
1990-07-01	398.5
1990-10-01	410.1
1991-01-01	417.3
1991-04-01	417.5
1991-07-01	411.9
1991-10-01	401.1
1992-01-01	400.2
1992-04-01	402.8
1992-07-01	411.1
1992-10-01	404.7
1993-01-01	389.6
1993-04-01	388.4
1993-07-01	390.0
1993-10-01	392.2
1994-01-01	373.3
1994-04-01	379.2
1994-07-01	392.5
1994-10-01	376.2
1995-01-01	377.6
1995-04-01	380.6
1995-07-01	376.5
1995-10-01	369.5
1996-01-01	375.3
1996-04-01	380.9
1996-07-01	376.0
1996-10-01	373.9
1997-01-01	363.8
1997-04-01	374.4
1997-07-01	372.1
1997-10-01	375.5
1998-01-01	355.5
1998-04-01	368.7
1998-07-01	373.8
1998-10-01	372.8
1999-01-01	370.0
1999-04-01	375.9
1999-07-01	387.5
1999-10-01	397.4
2000-01-01	380.7
2000-04-01	397.4
2000-07-01	393.5
2000-10-01	395.2
2001-01-01	403.4
2001-04-01	410.3
2001-07-01	416.5
2001-10-01	420.7
2002-01-01	438.7
2002-04-01	450.1
2002-07-01	459.5
2002-10-01	479.1
2003-01-01	490.2
2003-04-01	526.8
2003-07-01	522.7
2003-10-01	539.9
2004-01-01	554.8
2004-04-01	564.7
2004-07-01	585.6
2004-10-01	575.8
2005-01-01	596.8
2005-04-01	605.0
2005-07-01	623.4
2005-10-01	607.8
2006-01-01	633.5
2006-04-01	641.4
2006-07-01	638.7
2006-10-01	655.9
2007-01-01	654.5
2007-04-01	672.6
2007-07-01	690.7
2007-10-01	697.1
2008-01-01	719.7
2008-04-01	741.2
2008-07-01	776.6
2008-10-01	778.9
2009-01-01	760.2
2009-04-01	785.4
2009-07-01	802.8
2009-10-01	804.6
2010-01-01	811.9
2010-04-01	829.3
2010-07-01	846.3
2010-10-01	843.5
2011-01-01	823.4
2011-04-01	844.9
2011-07-01	851.5
2011-10-01	828.0
2012-01-01	826.4
2012-04-01	818.8
2012-07-01	821.5
2012-10-01	804.6
2013-01-01	779.6
2013-04-01	770.0
2013-07-01	759.3
2013-10-01	759.0
2014-01-01	750.0
2014-04-01	746.0
2014-07-01	755.5
2014-10-01	732.5
2015-01-01	731.2
2015-04-01	731.8
2015-07-01	729.3
2015-10-01	735.6
2016-01-01	731.4
2016-04-01	729.3
2016-07-01	736.0